DATE,IR3TIB01GBM156N
1986-01-01,12.863
1986-02-01,12.71875
1986-03-01,11.77679
1986-04-01,10.5767
1986-05-01,10.26705
1986-06-01,9.82292
1986-07-01,10.03805
1986-08-01,9.89435
1986-09-01,10.18892
1986-10-01,11.1644
1986-11-01,11.246089999999999
1986-12-01,11.40421
1987-01-01,11.10085
1987-02-01,10.89219
1987-03-01,10.0142
1987-04-01,9.830969999999999
1987-05-01,8.86792
1987-06-01,8.93608
1987-07-01,9.24796
1987-08-01,10.0997
1987-09-01,10.196019999999999
1987-10-01,10.0277
1987-11-01,8.998510000000001
1987-12-01,7.97283
1988-01-01,8.88691
1988-02-01,9.28795
1988-03-01,8.913039999999999
1988-04-01,8.374260000000001
1988-05-01,8.06676
1988-06-01,8.97514
1988-07-01,10.57366
1988-08-01,11.444289999999999
1988-09-01,12.190339999999999
1988-10-01,12.0439
1988-11-01,12.31818
1988-12-01,13.157670000000001
1989-01-01,13.161220000000002
1989-02-01,13.064060000000001
1989-03-01,13.0625
1989-04-01,13.183589999999999
1989-05-01,13.22215
1989-06-01,14.182529999999998
1989-07-01,13.963170000000002
1989-08-01,13.89572
1989-09-01,14.072170000000002
1989-10-01,15.068179999999998
1989-11-01,15.15412
1989-12-01,15.15179
1990-01-01,15.19837
1990-02-01,15.149220000000001
1990-03-01,15.31676
1990-04-01,15.257439999999999
1990-05-01,15.194289999999999
1990-06-01,15.013020000000001
1990-07-01,14.9858
1990-08-01,15.016639999999999
1990-09-01,14.951170000000001
1990-10-01,14.06216
1990-11-01,13.68111
1990-12-01,13.8817
1991-01-01,14.01087
1991-02-01,13.295320000000002
1991-03-01,12.4628
1991-04-01,12.01492
1991-05-01,11.56522
1991-06-01,11.29844
1991-07-01,11.129760000000001
1991-08-01,10.93324
1991-09-01,10.33408
1991-10-01,10.45823
1991-11-01,10.52977
1991-12-01,10.84837
1992-01-01,10.71773
1992-02-01,10.42031
1992-03-01,10.67045
1992-04-01,10.65483
1992-05-01,10.109
1992-06-01,10.05078
1992-07-01,10.20245
1992-08-01,10.4122
1992-09-01,10.037289999999999
1992-10-01,8.393469999999999
1992-11-01,7.267110000000001
1992-12-01,7.231319999999999
1993-01-01,6.983630000000001
1993-02-01,6.23086
1993-03-01,6.03193
1993-04-01,6.02379
1993-05-01,6.04427
1993-06-01,5.9517
1993-07-01,6.00355
1993-08-01,5.91406
1993-09-01,5.95987
1993-10-01,5.813619999999999
1993-11-01,5.6076
1993-12-01,5.38281
1994-01-01,5.44345
1994-02-01,5.26328
1994-03-01,5.227580000000001
1994-04-01,5.28981
1994-05-01,5.22727
1994-06-01,5.18786
1994-07-01,5.266369999999999
1994-08-01,5.57745
1994-09-01,5.76811
1994-10-01,5.9747
1994-11-01,6.12536
1994-12-01,6.42685
1995-01-01,6.63778
1995-02-01,6.803910000000001
1995-03-01,6.72554
1995-04-01,6.736330000000001
1995-05-01,6.776160000000001
1995-06-01,6.71484
1995-07-01,6.876860000000001
1995-08-01,6.87568
1995-09-01,6.795389999999999
1995-10-01,6.817830000000001
1995-11-01,6.72088
1995-12-01,6.54985
1996-01-01,6.44718
1996-02-01,6.24554
1996-03-01,6.139880000000001
1996-04-01,6.0845199999999995
1996-05-01,6.11651
1996-06-01,5.934769999999999
1996-07-01,5.82167
1996-08-01,5.836469999999999
1996-09-01,5.86365
1996-10-01,6.0195300000000005
1996-11-01,6.38579
1996-12-01,6.43164
1997-01-01,6.41491
1997-02-01,6.28848
1997-03-01,6.304130000000001
1997-04-01,6.45437
1997-05-01,6.53214
1997-06-01,6.664619999999999
1997-07-01,7.04144
1997-08-01,7.2434899999999995
1997-09-01,7.296869999999999
1997-10-01,7.35615
1997-11-01,7.62617
1997-12-01,7.7179
1998-01-01,7.5854
1998-02-01,7.54395
1998-03-01,7.56676
1998-04-01,7.53533
1998-05-01,7.4881
1998-06-01,7.71396
1998-07-01,7.80622
1998-08-01,7.7282399999999996
1998-09-01,7.4676800000000005
1998-10-01,7.220610000000001
1998-11-01,6.974480000000001
1998-12-01,6.46034
1999-01-01,5.92171
1999-02-01,5.531969999999999
1999-03-01,5.42287
1999-04-01,5.31773
1999-05-01,5.34875
1999-06-01,5.22114
1999-07-01,5.16688
1999-08-01,5.25409
1999-09-01,5.4107
1999-10-01,6.02564
1999-11-01,5.8725
1999-12-01,6.0553099999999995
2000-01-01,6.1363199999999996
2000-02-01,6.23781
2000-03-01,6.2283800000000005
2000-04-01,6.296469999999999
2000-05-01,6.30356
2000-06-01,6.22682
2000-07-01,6.19247
2000-08-01,6.2175400000000005
2000-09-01,6.20569
2000-10-01,6.16274
2000-11-01,6.08629
2000-12-01,5.95539
2001-01-01,5.84578
2001-02-01,5.75655
2001-03-01,5.55126
2001-04-01,5.40449
2001-05-01,5.2485800000000005
2001-06-01,5.25854
2001-07-01,5.25436
2001-08-01,4.996580000000001
2001-09-01,4.7294599999999996
2001-10-01,4.42821
2001-11-01,3.99675
2001-12-01,4.0506
2002-01-01,4.0467699999999995
2002-02-01,4.0526800000000005
2002-03-01,4.13055
2002-04-01,4.17319
2002-05-01,4.1537
2002-06-01,4.17758
2002-07-01,4.0605400000000005
2002-08-01,3.98654
2002-09-01,3.98872
2002-10-01,3.96401
2002-11-01,3.9714199999999997
2002-12-01,4.01777
2003-01-01,3.9826300000000003
2003-02-01,3.75425
2003-03-01,3.6550300000000004
2003-04-01,3.64598
2003-05-01,3.6325199999999995
2003-06-01,3.6396599999999997
2003-07-01,3.49022
2003-08-01,3.5224900000000003
2003-09-01,3.6967
2003-10-01,3.80338
2003-11-01,3.98043
2003-12-01,4.01864
2004-01-01,4.0553099999999995
2004-02-01,4.16654
2004-03-01,4.29673
2004-04-01,4.3947199999999995
2004-05-01,4.52872
2004-06-01,4.78974
2004-07-01,4.8570199999999994
2004-08-01,4.96284
2004-09-01,4.9469
2004-10-01,4.90071
2004-11-01,4.88359
2004-12-01,4.87103
2005-01-01,4.8731599999999995
2005-02-01,4.89069
2005-03-01,4.98736
2005-04-01,4.94336
2005-05-01,4.89375
2005-06-01,4.84144
2005-07-01,4.65794
2005-08-01,4.59465
2005-09-01,4.5968599999999995
2005-10-01,4.58701
2005-11-01,4.618469999999999
2005-12-01,4.63732
2006-01-01,4.603680000000001
2006-02-01,4.58199
2006-03-01,4.58741
2006-04-01,4.6296
2006-05-01,4.7015
2006-06-01,4.73498
2006-07-01,4.733219999999999
2006-08-01,4.94425
2006-09-01,5.02501
2006-10-01,5.13176
2006-11-01,5.22544
2006-12-01,5.29167
2007-01-01,5.48623
2007-02-01,5.5657
2007-03-01,5.54946
2007-04-01,5.64899
2007-05-01,5.7674199999999995
2007-06-01,5.88018
2007-07-01,6.02396
2007-08-01,6.41946
2007-09-01,6.64694
2007-10-01,6.2701400000000005
2007-11-01,6.408580000000001
2007-12-01,6.359430000000001
2008-01-01,5.65965
2008-02-01,5.64202
2008-03-01,5.899290000000001
2008-04-01,5.91881
2008-05-01,5.82639
2008-06-01,5.9294400000000005
2008-07-01,5.8322
2008-08-01,5.76619
2008-09-01,5.9106
2008-10-01,6.13304
2008-11-01,4.44684
2008-12-01,3.17247
2009-01-01,2.3427599999999997
2009-02-01,2.09038
2009-03-01,1.83139
2009-04-01,1.53413
2009-05-01,1.35795
2009-06-01,1.24117
2009-07-01,1.0011299999999999
2009-08-01,0.77369
2009-09-01,0.6056
2009-10-01,0.57087
2009-11-01,0.60936
2009-12-01,0.60541
2010-01-01,0.61265
2010-02-01,0.6331
2010-03-01,0.64549
2010-04-01,0.65592
2010-05-01,0.69713
2010-06-01,0.72839
2010-07-01,0.7360300000000001
2010-08-01,0.7329600000000001
2010-09-01,0.72859
2010-10-01,0.7384
2010-11-01,0.7390100000000001
2010-12-01,0.74962
2011-01-01,0.76866
2011-02-01,0.79962
2011-03-01,0.80913
2011-04-01,0.82096
2011-05-01,0.82344
2011-06-01,0.8251200000000001
2011-07-01,0.8289
2011-08-01,0.85782
2011-09-01,0.9181
2011-10-01,0.96991
2011-11-01,1.0118200000000002
2011-12-01,1.06148
2012-01-01,1.08709
2012-02-01,1.07249
2012-03-01,1.03757
2012-04-01,1.0179200000000002
2012-05-01,1.005
2012-06-01,0.94978
2012-07-01,0.81735
2012-08-01,0.70481
2012-09-01,0.64803
2012-10-01,0.54397
2012-11-01,0.52452
2012-12-01,0.51848
2013-01-01,0.5122800000000001
2013-02-01,0.50988
2013-03-01,0.50688
2013-04-01,0.50557
2013-05-01,0.50563
2013-06-01,0.50794
2013-07-01,0.50944
2013-08-01,0.51262
2013-09-01,0.51688
2013-10-01,0.51663
2013-11-01,0.52344
2013-12-01,0.52474
2014-01-01,0.52093
2014-02-01,0.52153
2014-03-01,0.52157
2014-04-01,0.52665
2014-05-01,0.5274399999999999
2014-06-01,0.54394
2014-07-01,0.5564100000000001
2014-08-01,0.56119
2014-09-01,0.56291
2014-10-01,0.5583600000000001
2014-11-01,0.55628
2014-12-01,0.55818
2015-01-01,0.5626
2015-02-01,0.56363
2015-03-01,0.5643600000000001
2015-04-01,0.5695
2015-05-01,0.56798
2015-06-01,0.57188
2015-07-01,0.5808399999999999
2015-08-01,0.5867
2015-09-01,0.5857600000000001
2015-10-01,0.58006
2015-11-01,0.57371
2015-12-01,0.58277
2016-01-01,0.5897600000000001
2016-02-01,0.59073
2016-03-01,0.58825
2016-04-01,0.5889
2016-05-01,0.58929
2016-06-01,0.57468
2016-07-01,0.5136
2016-08-01,0.40613
2016-09-01,0.37906999999999996
2016-10-01,0.3975
2016-11-01,0.39773000000000003
2016-12-01,0.37226
2017-01-01,0.3621
2017-02-01,0.35674
2017-03-01,0.34567
2017-04-01,0.33513000000000004
2017-05-01,0.31081
2017-06-01,0.29441999999999996
2017-07-01,0.2931
2017-08-01,0.28119
2017-09-01,0.30911
2017-10-01,0.38187
2017-11-01,0.51857
2017-12-01,0.51871
2018-01-01,0.5225
2018-02-01,0.54683
2018-03-01,0.62842
2018-04-01,0.75629
2018-05-01,0.64355
2018-06-01,0.63868
2018-07-01,0.7461899999999999
2018-08-01,0.80519
2018-09-01,0.80093
2018-10-01,0.80618
2018-11-01,0.8748299999999999
2018-12-01,0.9044399999999999
2019-01-01,0.91822
2019-02-01,0.87598
2019-03-01,0.84
2019-04-01,0.82
2019-05-01,0.8
2019-06-01,0.78
2019-07-01,0.77
2019-08-01,0.76
2019-09-01,0.77
2019-10-01,0.78
2019-11-01,0.79
2019-12-01,0.79
2020-01-01,0.74
2020-02-01,0.75
2020-03-01,0.53
2020-04-01,0.65
2020-05-01,0.33
2020-06-01,0.19
2020-07-01,0.1
2020-08-01,0.07
2020-09-01,0.06
2020-10-01,0.05
2020-11-01,0.04
2020-12-01,0.03
2021-01-01,0.03
2021-02-01,0.05
2021-03-01,0.08
2021-04-01,0.09
2021-05-01,0.08
2021-06-01,0.08
2021-07-01,0.08
2021-08-01,0.07
2021-09-01,0.07
2021-10-01,0.16
2021-11-01,0.13
2021-12-01,0.16
2022-01-01,0.53
2022-02-01,0.81
2022-03-01,0.99
2022-04-01,1.13
2022-05-01,1.31
2022-06-01,1.57
2022-07-01,1.84
2022-08-01,2.23
2022-09-01,2.91
2022-10-01,3.39
2022-11-01,3.52
2022-12-01,3.78
2023-01-01,4.01
2023-02-01,4.21
2023-03-01,4.33
2023-04-01,4.52
2023-05-01,4.73
2023-06-01,5.09
2023-07-01,5.49
2023-08-01,5.53
2023-09-01,5.52
2023-10-01,5.4
2023-11-01,5.36
2023-12-01,5.34
2024-01-01,5.32
2024-02-01,5.33
2024-03-01,5.32
2024-04-01,5.3
2024-05-01,5.3
2024-06-01,5.3
2024-07-01,5.3
2024-08-01,5.3
2024-09-01,5.3
2024-10-01,5.3
